Disease Category,Disease,Year,Month,Cases
Sexually Transmitted and Bloodborne,HIV,2022,April,38
Sexually Transmitted and Bloodborne,HIV,2022,May,47
Sexually Transmitted and Bloodborne,HIV,2022,June,41
Sexually Transmitted and Bloodborne,HIV,2022,July,44
Sexually Transmitted and Bloodborne,HIV,2022,August,48
Sexually Transmitted and Bloodborne,HIV,2022,September,56
Sexually Transmitted and Bloodborne,HIV,2022,October,48
Sexually Transmitted and Bloodborne,HIV,2022,November,41
Sexually Transmitted and Bloodborne,HIV,2022,December,50
Sexually Transmitted and Bloodborne,Chlamydia,2022,January,774
Sexually Transmitted and Bloodborne,Chlamydia,2022,February,814
Sexually Transmitted and Bloodborne,Chlamydia,2022,March,"1,101"
Sexually Transmitted and Bloodborne,Chlamydia,2022,April,981
Sexually Transmitted and Bloodborne,Chlamydia,2022,May,"1,026"
Sexually Transmitted and Bloodborne,Chlamydia,2022,June,"1,075"
Sexually Transmitted and Bloodborne,Chlamydia,2022,July,952
Sexually Transmitted and Bloodborne,Chlamydia,2022,August,"1,019"
Sexually Transmitted and Bloodborne,Chlamydia,2022,September,"1,080"
Sexually Transmitted and Bloodborne,Chlamydia,2022,October,983
Sexually Transmitted and Bloodborne,Chlamydia,2022,November,"1,181"
Sexually Transmitted and Bloodborne,Chlamydia,2022,December,929
Sexually Transmitted and Bloodborne,Gonorrhea,2022,January,321
Sexually Transmitted and Bloodborne,Gonorrhea,2022,February,303
Sexually Transmitted and Bloodborne,Gonorrhea,2022,March,478
Sexually Transmitted and Bloodborne,Gonorrhea,2022,April,440
Sexually Transmitted and Bloodborne,Gonorrhea,2022,May,469
Sexually Transmitted and Bloodborne,Gonorrhea,2022,June,495
Sexually Transmitted and Bloodborne,Gonorrhea,2022,July,466
Sexually Transmitted and Bloodborne,Gonorrhea,2022,August,458
Sexually Transmitted and Bloodborne,Gonorrhea,2022,September,472
Sexually Transmitted and Bloodborne,Gonorrhea,2022,October,465
Sexually Transmitted and Bloodborne,Gonorrhea,2022,November,520
Sexually Transmitted and Bloodborne,Gonorrhea,2022,December,440
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2022,January,22
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2022,February,17
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2022,March,22
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2022,April,14
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2022,May,24
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2022,June,11
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2022,July,14
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2022,August,26
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2022,September,29
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2022,October,22
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2022,November,18
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2022,December,15
Sexually Transmitted and Bloodborne,Hepatitis C,2022,January,38
Sexually Transmitted and Bloodborne,Hepatitis C,2022,February,30
Sexually Transmitted and Bloodborne,Hepatitis C,2022,March,51
Sexually Transmitted and Bloodborne,Hepatitis C,2022,April,33
Sexually Transmitted and Bloodborne,Hepatitis C,2022,May,46
Sexually Transmitted and Bloodborne,Hepatitis C,2022,June,40
Sexually Transmitted and Bloodborne,Hepatitis C,2022,July,48
Sexually Transmitted and Bloodborne,Hepatitis C,2022,August,57
Sexually Transmitted and Bloodborne,Hepatitis C,2022,September,43
Sexually Transmitted and Bloodborne,Hepatitis C,2022,October,34
Sexually Transmitted and Bloodborne,Hepatitis C,2022,November,33
Sexually Transmitted and Bloodborne,Hepatitis C,2022,December,30
Sexually Transmitted and Bloodborne,Syphilis,2022,January,169
Sexually Transmitted and Bloodborne,Syphilis,2022,February,174
Sexually Transmitted and Bloodborne,Syphilis,2022,March,192
Sexually Transmitted and Bloodborne,Syphilis,2022,April,195
Sexually Transmitted and Bloodborne,Syphilis,2022,May,183
Sexually Transmitted and Bloodborne,Syphilis,2022,June,190
Sexually Transmitted and Bloodborne,Syphilis,2022,July,209
Sexually Transmitted and Bloodborne,Syphilis,2022,August,234
Sexually Transmitted and Bloodborne,Syphilis,2022,September,203
Sexually Transmitted and Bloodborne,Syphilis,2022,October,208
Sexually Transmitted and Bloodborne,Syphilis,2022,November,243
Sexually Transmitted and Bloodborne,Syphilis,2022,December,190
Direct Contact and Respiratory,Group A Streptococcal disease,2022,January,13
Direct Contact and Respiratory,Group A Streptococcal disease,2022,February,7
Direct Contact and Respiratory,Group A Streptococcal disease,2022,March,10
Direct Contact and Respiratory,Group A Streptococcal disease,2022,April,5
Direct Contact and Respiratory,Group A Streptococcal disease,2022,May,6
Direct Contact and Respiratory,Group A Streptococcal disease,2022,June,6
Direct Contact and Respiratory,Group A Streptococcal disease,2022,July,10
Direct Contact and Respiratory,Group A Streptococcal disease,2022,August,9
Direct Contact and Respiratory,Group A Streptococcal disease,2022,September,9
Direct Contact and Respiratory,Group A Streptococcal disease,2022,October,10
Direct Contact and Respiratory,Group A Streptococcal disease,2022,November,16
Direct Contact and Respiratory,Group A Streptococcal disease,2022,December,18
Direct Contact and Respiratory,Pneumococcal disease,2022,January,25
Direct Contact and Respiratory,Pneumococcal disease,2022,February,7
Direct Contact and Respiratory,Pneumococcal disease,2022,March,10
Direct Contact and Respiratory,Pneumococcal disease,2022,April,12
Direct Contact and Respiratory,Pneumococcal disease,2022,May,13
